[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.053s parse=0.051s build=0.149s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=190.933ms frontier= 28.147ms semisort= 58.764ms (keyed= 9.786ms group_by=  1.604ms per_group= 6.402ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=212.727ms frontier= 23.909ms semisort= 59.964ms (keyed=10.426ms group_by=  1.568ms per_group= 6.609ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  6.149ms frontier=  2.073ms semisort=  7.468ms (keyed= 1.434ms group_by=  0.200ms per_group= 1.105ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.318ms frontier=  0.231ms semisort=  3.308ms (keyed= 0.037ms group_by=  1.476ms per_group= 0.713ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.125ms frontier=  0.239ms semisort=  2.087ms (keyed= 0.044ms group_by=  0.760ms per_group= 0.556ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.606ms frontier=  0.237ms semisort=  1.031ms (keyed= 0.015ms group_by=  0.366ms per_group= 0.229ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.807ms frontier=  0.115ms semisort=  0.501ms (keyed= 0.011ms group_by=  0.101ms per_group= 0.156ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.371ms frontier=  0.075ms semisort=  0.671ms (keyed= 0.011ms group_by=  0.409ms per_group= 0.120ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.273ms frontier=  0.061ms semisort=  0.385ms (keyed= 0.009ms group_by=  0.208ms per_group= 0.080ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.159ms frontier=  0.036ms semisort=  0.371ms (keyed= 0.007ms group_by=  0.168ms per_group= 0.088ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.097ms frontier=  0.020ms semisort=  0.218ms (keyed= 0.006ms group_by=  0.069ms per_group= 0.035ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.104ms frontier=  0.014ms semisort=  0.161ms (keyed= 0.002ms group_by=  0.035ms per_group= 0.046ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.057ms frontier=  0.007ms semisort=  0.118ms (keyed= 0.001ms group_by=  0.023ms per_group= 0.036ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.030ms frontier=  0.006ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.022ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.059ms frontier=  0.004ms semisort=  0.086ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.025ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.055ms frontier=  0.006ms semisort=  0.076ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.026ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.061ms frontier=  0.004ms semisort=  0.065ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.022ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.052ms frontier=  0.003ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.016ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.033ms frontier=  0.003ms semisort=  0.092ms (keyed= 0.002ms group_by=  0.019ms per_group= 0.036ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.074ms frontier=  0.006ms semisort=  0.158ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.044ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.057ms frontier=  0.005ms semisort=  0.090ms (keyed= 0.001ms group_by=  0.019ms per_group= 0.019ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.036ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.014ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.031ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.014ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.028ms frontier=  0.002ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.013ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.026ms frontier=  0.002ms semisort=  0.033ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.026ms frontier=  0.001ms semisort=  0.033ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.021ms frontier=  0.002ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.017ms frontier=  0.003ms semisort=  0.036ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.026ms frontier=  0.002ms semisort=  0.032ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.011ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.014ms frontier=  0.003ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.024ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.016ms frontier=  0.001ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.013ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.007ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.015ms frontier=  0.001ms semisort=  0.018ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.012ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.015ms frontier=  0.001ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.010ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.007ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=216.870ms frontier= 23.427ms semisort= 60.956ms (keyed=10.629ms group_by=  1.597ms per_group= 6.913ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  5.972ms frontier=  2.419ms semisort=  7.903ms (keyed= 1.937ms group_by=  0.216ms per_group= 1.094ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.330ms frontier=  0.233ms semisort=  4.026ms (keyed= 0.036ms group_by=  2.177ms per_group= 0.720ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.208ms frontier=  0.144ms semisort=  2.152ms (keyed= 0.120ms group_by=  0.858ms per_group= 0.482ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.616ms frontier=  0.197ms semisort=  0.914ms (keyed= 0.016ms group_by=  0.270ms per_group= 0.232ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.871ms frontier=  0.118ms semisort=  0.558ms (keyed= 0.014ms group_by=  0.183ms per_group= 0.138ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.389ms frontier=  0.074ms semisort=  0.734ms (keyed= 0.012ms group_by=  0.436ms per_group= 0.139ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.281ms frontier=  0.059ms semisort=  0.395ms (keyed= 0.009ms group_by=  0.197ms per_group= 0.101ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.114ms frontier=  0.032ms semisort=  0.379ms (keyed= 0.007ms group_by=  0.173ms per_group= 0.080ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.096ms frontier=  0.022ms semisort=  0.222ms (keyed= 0.005ms group_by=  0.071ms per_group= 0.045ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.099ms frontier=  0.014ms semisort=  0.160ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.048ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.061ms frontier=  0.007ms semisort=  0.120ms (keyed= 0.001ms group_by=  0.022ms per_group= 0.038ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.029ms frontier=  0.006ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.021ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.060ms frontier=  0.005ms semisort=  0.089ms (keyed= 0.001ms group_by=  0.020ms per_group= 0.024ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.057ms frontier=  0.006ms semisort=  0.073ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.029ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.044ms frontier=  0.005ms semisort=  0.073ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.023ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.055ms frontier=  0.003ms semisort=  0.054ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.026ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.034ms frontier=  0.004ms semisort=  0.098ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.022ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.061ms frontier=  0.007ms semisort=  0.138ms (keyed= 0.002ms group_by=  0.036ms per_group= 0.044ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.064ms frontier=  0.005ms semisort=  0.091ms (keyed= 0.001ms group_by=  0.017ms per_group= 0.018ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.035ms frontier=  0.003ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.017ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.032ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.016ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.028ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.015ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.027ms frontier=  0.002ms semisort=  0.042ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.012ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.027ms frontier=  0.001ms semisort=  0.031ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.026ms frontier=  0.001ms semisort=  0.039ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.027ms frontier=  0.002ms semisort=  0.030ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.014ms frontier=  0.003ms semisort=  0.028ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.025ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.024ms frontier=  0.001ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.017ms frontier=  0.002ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.012ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.007ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.017ms frontier=  0.001ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.013ms frontier=  0.002ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.014ms frontier=  0.001ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.004ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.006ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.006ms frontier=  0.001ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.006ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=220.012ms frontier= 23.441ms semisort= 59.862ms (keyed=10.036ms group_by=  1.566ms per_group= 6.858ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  6.359ms frontier=  2.043ms semisort=  7.732ms (keyed= 1.519ms group_by=  0.219ms per_group= 1.265ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.314ms frontier=  0.235ms semisort=  3.437ms (keyed= 0.037ms group_by=  1.485ms per_group= 0.720ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.330ms frontier=  0.224ms semisort=  2.273ms (keyed= 0.169ms group_by=  0.870ms per_group= 0.487ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.649ms frontier=  0.237ms semisort=  0.989ms (keyed= 0.016ms group_by=  0.329ms per_group= 0.248ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.848ms frontier=  0.225ms semisort=  0.587ms (keyed= 0.014ms group_by=  0.177ms per_group= 0.140ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.388ms frontier=  0.074ms semisort=  0.797ms (keyed= 0.010ms group_by=  0.435ms per_group= 0.144ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.269ms frontier=  0.058ms semisort=  0.389ms (keyed= 0.012ms group_by=  0.200ms per_group= 0.082ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.114ms frontier=  0.033ms semisort=  0.383ms (keyed= 0.007ms group_by=  0.186ms per_group= 0.092ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.116ms frontier=  0.020ms semisort=  0.279ms (keyed= 0.006ms group_by=  0.089ms per_group= 0.080ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.108ms frontier=  0.016ms semisort=  0.235ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.049ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.081ms frontier=  0.006ms semisort=  0.120ms (keyed= 0.001ms group_by=  0.023ms per_group= 0.036ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.028ms frontier=  0.007ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.022ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.059ms frontier=  0.005ms semisort=  0.103ms (keyed= 0.001ms group_by=  0.019ms per_group= 0.031ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.046ms frontier=  0.007ms semisort=  0.072ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.027ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.066ms frontier=  0.004ms semisort=  0.066ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.022ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.053ms frontier=  0.003ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.026ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.037ms frontier=  0.004ms semisort=  0.102ms (keyed= 0.001ms group_by=  0.017ms per_group= 0.026ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.062ms frontier=  0.006ms semisort=  0.141ms (keyed= 0.003ms group_by=  0.036ms per_group= 0.043ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.069ms frontier=  0.005ms semisort=  0.101ms (keyed= 0.001ms group_by=  0.021ms per_group= 0.019ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.034ms frontier=  0.003ms semisort=  0.037ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.030ms frontier=  0.003ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.015ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.029ms frontier=  0.002ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.029ms frontier=  0.002ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.028ms frontier=  0.001ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.021ms frontier=  0.002ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.019ms frontier=  0.003ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.016ms frontier=  0.008ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.010ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.025ms frontier=  0.002ms semisort=  0.028ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.016ms frontier=  0.002ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.012ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.014ms frontier=  0.002ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.014ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.007ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.013ms frontier=  0.001ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.012ms frontier=  0.002ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.012ms frontier=  0.001ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.007ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.006ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
